time_ref,account,code,country_code,product_type,value,status
202209,Exports,0,AE,Goods,199202554,F
202209,Exports,0,AG,Goods,903776,F
202209,Exports,0,AL,Goods,1500,F
202209,Exports,0,AM,Goods,1442071,F
202209,Exports,0,AO,Goods,6618310,F
202209,Exports,0,AR,Goods,8924231,F
202209,Exports,0,AS,Goods,8713212,F
202209,Exports,0,AT,Goods,8968096,F
202209,Exports,0,AU,Goods,2267670772,F
202209,Exports,0,AW,Goods,422908,F
202209,Exports,0,AZ,Goods,4074960,F
202209,Exports,0,BB,Goods,8940352,F
202209,Exports,0,BD,Goods,106131150,F
202209,Exports,0,BE,Goods,63224272,F
202209,Exports,0,BF,Goods,56780,F
202209,Exports,0,BG,Goods,2486772,F
202209,Exports,0,BH,Goods,15747210,F
202209,Exports,0,BM,Goods,1029710,F
202209,Exports,0,BN,Goods,185037,F
202209,Exports,0,BO,Goods,24213,F
202209,Exports,0,BR,Goods,42885084,F
202209,Exports,0,BS,Goods,831390,F
202209,Exports,0,BW,Goods,16110,F
202209,Exports,0,BY,Goods,494324,F
202209,Exports,0,BZ,Goods,191238,F
202209,Exports,0,CA,Goods,214792081,F
202209,Exports,0,CD,Goods,868863,F
202209,Exports,0,CF,Goods,9076,F
202209,Exports,0,CG,Goods,2493350,F
202209,Exports,0,CH,Goods,22746772,F
202209,Exports,0,CI,Goods,8089721,F
202209,Exports,0,CK,Goods,36615398,F
202209,Exports,0,CL,Goods,63189374,F
202209,Exports,0,CM,Goods,5487180,F
202209,Exports,0,CN,Goods,4803352183,F
202209,Exports,0,CO,Goods,4455802,F
202209,Exports,0,CR,Goods,4080166,F
202209,Exports,0,CU,Goods,48076361,F
202209,Exports,0,CW,Goods,241472,F
202209,Exports,0,CX,Goods,160838,F
202209,Exports,0,CY,Goods,1614278,F
202209,Exports,0,CZ,Goods,10033690,F
202209,Exports,0,DE,Goods,220951156,F
202209,Exports,0,DK,Goods,58933981,F
202209,Exports,0,DO,Goods,7588537,F
202209,Exports,0,DZ,Goods,124233127,F
202209,Exports,0,EC,Goods,1179765,F
202209,Exports,0,EE,Goods,1561386,F
202209,Exports,0,EG,Goods,76083307,F
202209,Exports,0,ER,Goods,13613,F
202209,Exports,0,ES,Goods,33525690,F
202209,Exports,0,ET,Goods,237863,F
202209,Exports,0,FI,Goods,4518825,F
202209,Exports,0,FJ,Goods,141546231,F
202209,Exports,0,FK,Goods,243915,F
202209,Exports,0,FM,Goods,597190,F
202209,Exports,0,FO,Goods,228074,F
202209,Exports,0,FR,Goods,110995380,F
202209,Exports,0,GA,Goods,171307,F
202209,Exports,0,GB,Goods,330348003,F
202209,Exports,0,GD,Goods,828425,F
202209,Exports,0,GE,Goods,13021756,F
202209,Exports,0,GF,Goods,347428,F
202209,Exports,0,GH,Goods,10166823,F
202209,Exports,0,GI,Goods,161555,F
202209,Exports,0,GN,Goods,264570,F
202209,Exports,0,GP,Goods,2583513,F
202209,Exports,0,GR,Goods,15955538,F
202209,Exports,0,GT,Goods,36537177,F
